fw_ID,model,S,connectance,mx_tl,intervality,isolated,illogical
adbm_74_40,ADBM,4,0.125,2.0,0,0,0
adbm_75_10,ADBM,6,0.3611111111111111,3.083333333333333,0,0,0
adbm_75_20,ADBM,10,0.12,3.0,0,0,0
adbm_75_40,ADBM,2,0.25,2.0,0,0,0
adbm_76_10,ADBM,4,0.25,3.5,0,0,0
adbm_76_20,ADBM,2,0.25,2.0,0,0,0
adbm_76_40,ADBM,7,0.10204081632653061,4.0,0,0,0
adbm_77_10,ADBM,7,0.10204081632653061,5.0,0,0,0
adbm_77_20,ADBM,6,0.2777777777777778,2.466666666666667,0,0,0
adbm_77_40,ADBM,10,0.29,3.4404761904761902,0,0,0
adbm_78_10,ADBM,,,,,,
adbm_78_20,ADBM,13,0.2781065088757396,2.723809523809524,0,0,0
adbm_78_40,ADBM,5,0.12,3.0,0,0,0
adbm_79_10,ADBM,6,0.1388888888888889,2.5,0,0,0
adbm_79_20,ADBM,,,,,,
adbm_79_40,ADBM,10,0.07,3.0,0,0,0
adbm_7_10,ADBM,4,0.25,2.333333333333333,0,0,0
adbm_7_20,ADBM,10,0.27,3.5,0,0,0
adbm_7_40,ADBM,14,0.17857142857142858,4.2020833333333325,0,0,0
adbm_80_10,ADBM,2,0.25,2.0,0,0,0
adbm_80_20,ADBM,,,,,,
adbm_80_40,ADBM,5,0.16,3.0,0,0,0
adbm_81_10,ADBM,5,0.16,5.0,0,0,0
adbm_81_20,ADBM,5,0.12,3.0,0,0,0
adbm_81_40,ADBM,8,0.09375,4.0,0,0,0
adbm_82_10,ADBM,4,0.1875,4.0,0,0,0
adbm_82_20,ADBM,2,0.25,2.0,0,0,0
adbm_82_40,ADBM,6,0.1111111111111111,4.0,0,0,0
adbm_83_10,ADBM,,,,,,
adbm_83_20,ADBM,7,0.10204081632653061,3.0,0,0,0
adbm_83_40,ADBM,,,,,,
adbm_84_10,ADBM,2,0.25,2.0,0,0,0
adbm_84_20,ADBM,2,0.25,2.0,0,0,0
