fw_ID,model,S_equ,connectance_equ,prop_basal_equ,mx_tl_equ,mean_FCL_equ,closed_loops_equ,isolated_equ,illogical_equ
maxent_33,MaxEnt,11,0.11570247933884298,0.45454545454545453,1.1322314049586777,1.5,0,0,
maxent_34,MaxEnt,15,0.18666666666666668,0.06666666666666667,1.533333333333333,4.0,128,0,
maxent_36,MaxEnt,0,0.0,0.0,NaN,NaN,0,0,
maxent_37,MaxEnt,10,0.23,0.0,1.59,NaN,16,0,
maxent_38,MaxEnt,5,0.12,0.4,1.16,1.5,0,0,
maxent_39,MaxEnt,10,0.2,0.1,1.39,2.857142857142857,9,0,
maxent_4,MaxEnt,5,0.2,0.2,1.28,2.0,0,0,
maxent_40,MaxEnt,5,0.16,0.2,1.16,1.0,1,0,
maxent_41,MaxEnt,14,0.22448979591836735,0.14285714285714285,1.489795918367347,5.769230769230769,28,0,
maxent_42,MaxEnt,8,0.171875,0.25,1.21875,2.4285714285714284,1,0,
maxent_43,MaxEnt,4,0.1875,0.25,1.25,1.5,0,0,
maxent_44,MaxEnt,15,0.17777777777777778,0.3333333333333333,1.2488888888888885,4.029411764705882,43,0,
maxent_45,MaxEnt,7,0.12244897959183673,0.2857142857142857,1.1428571428571428,1.4,0,0,
maxent_46,MaxEnt,15,0.12444444444444444,0.26666666666666666,1.1733333333333331,4.25,16,0,
maxent_47,MaxEnt,8,0.125,0.25,1.171875,1.8333333333333333,0,0,
maxent_48,MaxEnt,12,0.08333333333333333,0.4166666666666667,1.1041666666666665,1.4,0,0,
maxent_49,MaxEnt,9,0.13580246913580246,0.4444444444444444,1.1604938271604937,1.3636363636363635,0,0,
maxent_5,MaxEnt,13,0.17751479289940827,0.07692307692307693,1.3136094674556213,2.9,7,0,
maxent_50,MaxEnt,2,0.25,0.5,1.25,1.0,0,0,
maxent_51,MaxEnt,14,0.19387755102040816,0.14285714285714285,1.336734693877551,3.9047619047619047,64,0,
maxent_52,MaxEnt,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
maxent_53,MaxEnt,6,0.08333333333333333,0.5,1.0833333333333335,1.0,0,0,
maxent_54,MaxEnt,4,0.3125,0.25,1.375,1.5,0,0,
maxent_55,MaxEnt,7,0.16326530612244897,0.2857142857142857,1.2244897959183672,2.4,0,0,
maxent_56,MaxEnt,15,0.16,0.2,1.2488888888888887,3.814814814814815,5,0,
maxent_57,MaxEnt,11,0.10743801652892562,0.36363636363636365,1.1157024793388428,1.1666666666666667,0,0,
maxent_58,MaxEnt,8,0.171875,0.25,1.296875,3.5454545454545454,0,0,
maxent_59,MaxEnt,11,0.09917355371900827,0.36363636363636365,1.1322314049586775,1.7777777777777777,0,0,
maxent_6,MaxEnt,13,0.1242603550295858,0.07692307692307693,1.1775147928994083,1.0,1,0,
maxent_60,MaxEnt,9,0.13580246913580246,0.2222222222222222,1.2098765432098766,2.1,0,0,
maxent_61,MaxEnt,11,0.09917355371900827,0.09090909090909091,1.1487603305785123,1.0,2,0,
maxent_62,MaxEnt,13,0.16568047337278108,0.23076923076923078,1.1834319526627217,3.3333333333333335,15,0,
maxent_63,MaxEnt,4,0.1875,0.25,1.25,2.0,0,0,
maxent_64,MaxEnt,7,0.16326530612244897,0.2857142857142857,1.2244897959183674,1.8,0,0,
maxent_65,MaxEnt,15,0.19555555555555557,0.13333333333333333,1.3377777777777775,3.772727272727273,61,0,
maxent_66,MaxEnt,14,0.22448979591836735,0.14285714285714285,1.5510204081632655,3.759259259259259,170,0,
maxent_67,MaxEnt,15,0.21777777777777776,0.13333333333333333,1.862222222222222,4.15,274,0,
maxent_68,MaxEnt,7,0.08163265306122448,0.42857142857142855,1.1020408163265305,1.3333333333333333,0,0,
maxent_69,MaxEnt,12,0.14583333333333334,0.3333333333333333,1.4444444444444444,4.083333333333333,7,0,
maxent_7,MaxEnt,10,0.08,0.3,1.13,2.25,0,0,
maxent_70,MaxEnt,0,0.0,0.0,NaN,NaN,0,0,
maxent_71,MaxEnt,0,0.0,0.0,NaN,NaN,0,0,
maxent_72,MaxEnt,2,0.25,0.5,1.25,1.0,0,0,
maxent_73,MaxEnt,9,0.16049382716049382,0.1111111111111111,1.2716049382716048,2.5454545454545454,0,0,
maxent_74,MaxEnt,5,0.12,0.4,1.1600000000000001,1.5,0,0,
maxent_75,MaxEnt,12,0.0763888888888889,0.25,1.090277777777778,1.4444444444444444,0,0,
maxent_76,MaxEnt,15,0.11555555555555555,0.2,1.16,4.0,11,0,
maxent_77,MaxEnt,6,0.2222222222222222,0.16666666666666666,1.3888888888888886,2.5,1,0,
maxent_78,MaxEnt,9,0.20987654320987653,0.2222222222222222,1.382716049382716,2.4285714285714284,0,0,
maxent_79,MaxEnt,14,0.1326530612244898,0.21428571428571427,1.2295918367346936,4.882352941176471,7,0,
maxent_8,MaxEnt,9,0.19753086419753085,0.2222222222222222,1.3086419753086418,2.8125,3,0,
maxent_80,MaxEnt,2,0.25,0.5,1.25,1.0,0,0,
maxent_81,MaxEnt,9,0.07407407407407407,0.4444444444444444,1.0987654320987654,1.6666666666666667,0,0,
maxent_82,MaxEnt,7,0.14285714285714285,0.2857142857142857,1.2244897959183674,1.8,0,0,
maxent_83,MaxEnt,10,0.26,0.1,1.56,3.5,41,0,
maxent_85,MaxEnt,7,0.10204081632653061,0.2857142857142857,1.1224489795918369,1.6666666666666667,0,0,
maxent_86,MaxEnt,9,0.07407407407407407,0.3333333333333333,1.08641975308642,1.2,0,0,
maxent_87,MaxEnt,8,0.09375,0.75,1.09375,1.0,0,0,
maxent_88,MaxEnt,8,0.125,0.375,1.171875,1.7142857142857142,0,0,
maxent_89,MaxEnt,5,0.12,0.4,1.1199999999999999,1.0,0,0,
maxent_9,MaxEnt,15,0.18222222222222223,0.06666666666666667,1.4844444444444445,4.0588235294117645,64,0,
maxent_90,MaxEnt,9,0.12345679012345678,0.1111111111111111,1.185185185185185,2.0,1,0,
maxent_91,MaxEnt,15,0.18666666666666668,0.2,1.2488888888888887,3.5714285714285716,13,0,
maxent_92,MaxEnt,5,0.2,0.4,1.24,1.25,0,0,
maxent_93,MaxEnt,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
maxent_94,MaxEnt,14,0.10714285714285714,0.2857142857142857,1.1479591836734693,2.769230769230769,2,0,
maxent_95,MaxEnt,10,0.21,0.0,1.52,NaN,10,0,
maxent_96,MaxEnt,14,0.2193877551020408,0.14285714285714285,1.2959183673469388,4.833333333333333,20,0,
maxent_97,MaxEnt,9,0.09876543209876543,0.2222222222222222,1.1604938271604939,1.6666666666666667,1,0,
maxent_98,MaxEnt,3,0.2222222222222222,0.6666666666666666,1.222222222222222,1.0,0,0,
maxent_99,MaxEnt,10,0.15,0.2,1.27,4.875,2,0,
niche_1,Niche,10,0.24,0.3,1.3399999999999999,1.6818181818181819,0,0,
niche_10,Niche,11,0.06611570247933884,0.2727272727272727,1.0991735537190082,2.0,0,0,
niche_100,Niche,7,0.22448979591836735,0.42857142857142855,1.2857142857142858,1.5,0,0,
niche_11,Niche,5,0.16,0.4,1.2399999999999998,2.0,0,0,
niche_12,Niche,5,0.32,0.2,1.48,2.0,0,0,
niche_13,Niche,5,0.16,0.8,1.16,1.0,0,0,
niche_14,Niche,5,0.16,0.4,1.2399999999999998,2.0,0,0,
niche_15,Niche,12,0.1875,0.16666666666666666,1.2916666666666667,2.3333333333333335,0,0,
niche_16,Niche,9,0.14814814814814814,0.2222222222222222,1.2222222222222223,2.0,0,0,
niche_17,Niche,5,0.24,0.4,1.3199999999999998,1.4,0,0,
niche_18,Niche,4,0.1875,0.5,1.3125,2.0,0,0,
niche_19,Niche,5,0.32,0.4,1.4,1.5,0,0,
niche_2,Niche,11,0.09917355371900827,0.5454545454545454,1.0991735537190082,1.0,0,0,
niche_20,Niche,11,0.2892561983471074,0.18181818181818182,1.421487603305785,2.482142857142857,0,0,
niche_21,Niche,13,0.24260355029585798,0.15384615384615385,1.3609467455621302,2.240740740740741,0,0,
niche_22,Niche,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
niche_23,Niche,5,0.24,0.2,1.3199999999999998,2.0,0,0,
niche_24,Niche,5,0.32,0.4,1.48,1.6666666666666667,0,0,
niche_25,Niche,6,0.2777777777777778,0.16666666666666666,1.3611111111111107,1.8888888888888888,0,0,
niche_26,Niche,6,0.2222222222222222,0.3333333333333333,1.3611111111111114,2.2,0,0,
niche_27,Niche,12,0.11805555555555555,0.3333333333333333,1.173611111111111,1.9411764705882353,0,0,
niche_28,Niche,13,0.09467455621301775,0.15384615384615385,1.1538461538461537,1.8,0,0,
niche_29,Niche,12,0.2569444444444444,0.3333333333333333,1.361111111111111,1.849056603773585,0,0,
niche_3,Niche,3,0.2222222222222222,0.3333333333333333,1.3333333333333333,2.0,0,0,
niche_30,Niche,9,0.09876543209876543,0.4444444444444444,1.1111111111111112,1.2857142857142858,0,0,
niche_31,Niche,9,0.2222222222222222,0.3333333333333333,1.3209876543209877,2.0,0,0,
niche_32,Niche,10,0.15,0.6,1.2200000000000002,1.6923076923076923,0,0,
niche_33,Niche,10,0.1,0.2,1.1599999999999997,3.6666666666666665,0,0,
niche_34,Niche,13,0.22485207100591717,0.23076923076923078,1.3905325443786982,3.2371134020618557,0,0,
niche_35,Niche,5,0.28,0.4,1.3599999999999999,1.3333333333333333,0,0,
niche_36,Niche,7,0.20408163265306123,0.42857142857142855,1.2653061224489794,1.5555555555555556,0,0,
niche_37,Niche,12,0.1388888888888889,0.4166666666666667,1.1597222222222223,1.45,0,0,
niche_38,Niche,12,0.09722222222222222,0.16666666666666666,1.125,1.7,0,0,
niche_39,Niche,9,0.18518518518518517,0.4444444444444444,1.271604938271605,1.9375,0,0,
niche_4,Niche,5,0.16,0.8,1.1600000000000001,1.0,0,0,
niche_40,Niche,14,0.10714285714285714,0.21428571428571427,1.1326530612244896,1.8235294117647058,0,0,
niche_41,Niche,9,0.18518518518518517,0.3333333333333333,1.2345679012345678,1.75,0,0,
niche_42,Niche,10,0.22,0.2,1.3,2.0,0,0,
niche_43,Niche,6,0.2777777777777778,0.3333333333333333,1.3333333333333333,1.4,0,0,
niche_44,Niche,6,0.2777777777777778,0.16666666666666666,1.4166666666666667,2.0,0,0,
niche_45,Niche,6,0.1111111111111111,0.3333333333333333,1.138888888888889,1.3333333333333333,0,0,
niche_46,Niche,4,0.1875,0.5,1.3125,2.0,0,0,
niche_47,Niche,13,0.20118343195266272,0.23076923076923078,1.3964497041420119,3.1641791044776117,0,0,
niche_48,Niche,9,0.13580246913580246,0.2222222222222222,1.2222222222222223,3.1666666666666665,0,0,
niche_49,Niche,7,0.24489795918367346,0.2857142857142857,1.346938775510204,2.125,0,0,
niche_5,Niche,7,0.22448979591836735,0.2857142857142857,1.3061224489795917,1.8181818181818181,0,0,
niche_50,Niche,8,0.265625,0.125,1.40625,2.9411764705882355,0,0,
niche_51,Niche,6,0.1388888888888889,0.8333333333333334,1.138888888888889,1.0,0,0,
niche_52,Niche,4,0.25,0.25,1.375,2.5,0,0,
niche_53,Niche,13,0.11242603550295859,0.23076923076923078,1.1420118343195265,1.8,0,0,
niche_54,Niche,8,0.1875,0.375,1.265625,1.5,0,0,
niche_55,Niche,12,0.11805555555555555,0.3333333333333333,1.159722222222222,1.4285714285714286,0,0,
niche_56,Niche,7,0.1836734693877551,0.2857142857142857,1.2653061224489794,2.0,0,0,
niche_57,Niche,12,0.08333333333333333,0.4166666666666667,1.1111111111111112,1.4,0,0,
niche_58,Niche,9,0.2345679012345679,0.2222222222222222,1.3333333333333333,2.0434782608695654,0,0,
niche_59,Niche,7,0.10204081632653061,0.42857142857142855,1.1224489795918366,1.25,0,0,
niche_6,Niche,10,0.2,0.1,1.3,2.2777777777777777,0,0,
niche_60,Niche,5,0.16,0.8,1.1600000000000001,1.0,0,0,
niche_61,Niche,4,0.3125,0.25,1.5,2.3333333333333335,0,0,
niche_62,Niche,7,0.10204081632653061,0.42857142857142855,1.163265306122449,2.0,0,0,
niche_63,Niche,12,0.20833333333333334,0.25,1.2916666666666667,1.9285714285714286,0,0,
niche_64,Niche,5,0.12,0.4,1.1199999999999999,1.0,0,0,
niche_65,Niche,9,0.16049382716049382,0.2222222222222222,1.2345679012345678,1.8888888888888888,0,0,
niche_66,Niche,7,0.14285714285714285,0.2857142857142857,1.204081632653061,2.0,0,0,
niche_67,Niche,8,0.25,0.375,1.3125,1.4375,0,0,
niche_68,Niche,14,0.11734693877551021,0.21428571428571427,1.1683673469387752,2.2222222222222223,0,0,
niche_69,Niche,5,0.24,0.2,1.36,2.0,0,0,
niche_7,Niche,9,0.16049382716049382,0.3333333333333333,1.2098765432098766,1.5,0,0,
niche_70,Niche,9,0.20987654320987653,0.3333333333333333,1.3086419753086418,1.8823529411764706,0,0,
niche_71,Niche,6,0.25,0.16666666666666666,1.4166666666666667,3.0,0,0,
