fw_ID,model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
niche_95,Niche,9,0.16049382716049382,0.9276430962600097,1.2469135802469136,0.7825765365144541,0.923076923076923,0.3333333333333333,2.1666666666666665,2.0,1.7527612574341545,0.14074074074074075,0.17880755879787122
niche_96,Niche,9,0.19753086419753085,0.8785715801994758,1.2469135802469136,1.1171601832324674,1.0439558180306292,0.4444444444444444,1.5,2.0,1.6470588235294112,0.38518518518518513,0.26912447591977695
niche_97,Niche,3,0.2222222222222222,NaN,1.222222222222222,0.8660254037844386,1.7320508075688772,0.6666666666666666,1.0,2.0,0.5,0.0,0.0
niche_98,Niche,3,0.2222222222222222,1.0,1.3333333333333333,0.8660254037844386,0.8660254037844386,0.3333333333333333,2.0,3.0,1.25,0.0,0.0
niche_99,Niche,5,0.16,NaN,1.1600000000000001,0.5590169943749475,2.23606797749979,0.8,1.0,2.0,0.25,0.0,0.0
random_1,Random,4,0.25,0.8724293398564681,1.3125,1.4142135623730951,0.816496580927726,0.25,1.3333333333333333,2.0,2.0,0.5833333333333333,0.3535533905932738
random_10,Random,15,0.09777777777777778,0.9448497321340154,1.1155555555555554,0.849508504334963,0.8877362000069804,0.26666666666666666,2.8333333333333335,3.0,1.526906878802059,0.19555555555555557,0.16668109605647477
random_100,Random,15,0.1688888888888889,0.9411592134705126,1.5111111111111113,0.5351698856343741,0.6306383974089318,0.0,NaN,2.0,3.9007506798456295,0.34507936507936504,0.3525696498417986
random_11,Random,13,0.24260355029585798,0.9127833974241468,1.5147928994082842,0.5152829878858805,0.46394919959589465,0.0,NaN,4.0,1.6162170904660003,0.47918192918192914,0.31257846467662015
random_12,Random,5,0.16,0.9335926644561658,1.2,1.0458250331675945,1.0458250331675945,0.4,1.3333333333333333,3.0,1.222222222222222,0.0,0.1914854215512677
random_13,Random,15,0.24,0.9062976976873942,1.4888888888888885,0.5826715823167509,0.41732751825825104,0.0,NaN,3.0,6.086289079991036,0.5176190476190475,0.33646329245522655
random_14,Random,14,0.1683673469387755,0.9424311798179775,1.3520408163265305,0.48818780119583094,0.4277246366139628,0.0,NaN,3.0,2.637350814925043,0.18299319727891156,0.20938202355326585
random_15,Random,9,0.1111111111111111,0.9427815970993604,1.1728395061728396,1.0,1.0,0.3333333333333333,2.3333333333333335,3.0,1.9478104379124175,0.09259259259259259,0.22528750112215631
random_16,Random,4,0.1875,0.8504896251021614,1.1875,1.2765694770084508,1.2765694770084508,0.5,1.0,2.0,1.6666666666666665,0.0,0.14433756729740643
random_17,Random,13,0.13609467455621302,0.9359835944427292,1.242603550295858,0.8368859371704417,0.4097888555245998,0.0,NaN,2.0,1.823651094638855,0.3487179487179487,0.35090986283287057
random_18,Random,8,0.1875,0.9063930898864204,1.296875,1.0079052613579391,0.7968190728895956,0.125,2.8461538461538463,3.0,2.287671232876712,0.5333333333333333,0.2052806652248368
random_19,Random,15,0.1111111111111111,0.9476081358784403,1.142222222222222,0.5398412465054624,0.6279217421667402,0.06666666666666667,NaN,1.0,2.011633941147749,0.20666666666666667,0.10313601231886481
random_2,Random,15,0.14666666666666667,0.9482727977770294,1.1955555555555553,0.6473996665254295,0.6241877839323592,0.0,NaN,2.0,2.057092189195627,0.29936507936507945,0.22173557826083448
random_20,Random,15,0.17777777777777778,0.8995019979091873,1.3333333333333333,0.5428101483418094,0.6123724356957945,0.13333333333333333,4.0,3.0,2.3071230342275673,0.22730158730158728,0.2518082750971608
random_21,Random,9,0.12345679012345678,0.9561270615384506,1.1481481481481481,0.7035623639735143,0.9486832980505137,0.3333333333333333,2.0,2.0,0.9636363636363638,0.18518518518518517,0.14628457524541846
random_22,Random,10,0.12,0.9675744823555393,1.23,1.0243938285880987,0.6573421981221795,0.2,4.0,4.0,2.1509846827133483,0.20666666666666664,0.29271456776494437
random_23,Random,14,0.1377551020408163,0.9323169929596699,1.173469387755102,0.8252376624559242,0.5917016093904418,0.07142857142857142,2.75,2.0,1.7661909989023046,0.18571428571428572,0.22484497957699465
random_24,Random,10,0.19,0.9290900634845348,1.33,0.9099159635010484,0.943135442506359,0.2,3.1538461538461537,2.0,0.8950437317784257,0.5161904761904762,0.4305579135947502
random_25,Random,3,0.2222222222222222,1.0,1.3333333333333333,0.8660254037844386,0.8660254037844386,0.3333333333333333,2.0,3.0,1.25,0.0,0.0
random_26,Random,14,0.2193877551020408,0.935955880192684,1.4183673469387752,0.45085469811625106,0.3928681511644324,0.0,NaN,2.0,2.5431900630707784,0.382312925170068,0.25635194508817666
random_28,Random,13,0.10650887573964497,0.9586676434783946,1.1301775147928994,0.7539334439193438,0.5546288567359976,0.07692307692307693,6.0,1.0,0.992337164750958,0.04615384615384615,0.1377305995947912
random_29,Random,13,0.11834319526627218,0.9250753243739427,1.1775147928994083,0.9425143677065794,0.822850735755479,0.23076923076923078,1.5,2.0,1.7087608524072613,0.5435897435897435,0.18322689737119408
random_3,Random,14,0.17857142857142858,0.9310944980965444,1.3928571428571426,0.7146812091899652,0.5817744738827396,0.07142857142857142,5.428571428571429,2.0,2.35451232661083,0.49121315192743775,0.3920514492747202
random_30,Random,14,0.14795918367346939,0.927320919876335,1.2193877551020407,0.5508946018462734,0.7446261639428013,0.14285714285714285,3.7777777777777777,3.0,2.5437725136646647,0.24965986394557824,0.1738467146801658
random_31,Random,7,0.16326530612244897,0.9786617349607107,1.2653061224489794,0.60380736442456,0.9354143466934853,0.2857142857142857,4.0,3.0,1.1,0.21428571428571427,0.21597969886241558
random_32,Random,14,0.14285714285714285,0.9497319409764877,1.1836734693877549,0.5883484054145521,0.6504436355879909,0.07142857142857142,1.0,2.0,1.7720594012728843,0.24047619047619048,0.14083508479789875
random_33,Random,9,0.14814814814814814,0.9579227618983561,1.2222222222222223,0.9185586535436918,0.8385254915624212,0.1111111111111111,3.0,1.0,0.8461538461538461,0.3259259259259259,0.38587092546419366
random_34,Random,6,0.16666666666666666,0.9999999999999998,1.25,0.8944271909999159,0.6324555320336759,0.16666666666666666,2.3333333333333335,1.0,1.0,0.0,0.16386534670836245
random_35,Random,13,0.17159763313609466,0.9399727568236353,1.289940828402367,0.638008693626571,0.5225778354790485,0.07692307692307693,4.4,3.0,3.6035577304589346,0.2846153846153846,0.3344512496356343
random_36,Random,14,0.14285714285714285,0.9265481578359582,1.204081632653061,0.5883484054145521,0.5547001962252291,0.14285714285714285,5.277777777777778,3.0,3.7740952011792515,0.28809523809523807,0.20234760296120208
random_37,Random,14,0.1989795918367347,0.9210088236685701,1.4081632653061222,0.7734924681537618,0.3499860918695182,0.0,NaN,2.0,3.164988774078091,0.4528911564625851,0.33724194953938486
random_38,Random,15,0.14666666666666667,0.923196445117198,1.3244444444444443,0.6914898447778772,0.6473996665254295,0.13333333333333333,5.419354838709677,3.0,2.393501533083721,0.4480952380952381,0.31758240798033177
random_39,Random,3,0.2222222222222222,1.0,1.3333333333333333,0.8660254037844386,0.8660254037844386,0.3333333333333333,2.0,3.0,1.25,0.0,0.0
random_4,Random,6,0.1111111111111111,0.9870558585867127,1.138888888888889,0.7745966692414834,1.224744871391589,0.5,1.3333333333333333,1.0,0.5,0.0,1.1102230246251565e-16
random_40,Random,9,0.09876543209876543,0.9697308656714675,1.1728395061728394,1.0439558180306292,0.879452954966893,0.3333333333333333,2.0,2.0,1.4481865284974091,0.0,0.41890930858402037
random_41,Random,15,0.26222222222222225,0.9092000321899254,1.6844444444444444,0.5390333020569251,0.3526308326344006,0.0,NaN,3.0,2.9068270034864603,0.5480856180856181,0.4520662780334845
random_42,Random,15,0.20444444444444446,0.9238165369621412,1.4977777777777779,0.5970491846309522,0.6459328707861033,0.06666666666666667,2.75,2.0,3.712557085236175,0.4973544973544974,0.4739573125132784
random_43,Random,14,0.1683673469387755,0.9116598847965924,1.357142857142857,0.6138197947371069,0.6573839858720151,0.14285714285714285,3.8333333333333335,2.0,4.157907920060729,0.3595238095238096,0.241086459367875
random_44,Random,13,0.1242603550295858,0.9318947959504079,1.3254437869822484,0.693888666488711,0.693888666488711,0.15384615384615385,2.6666666666666665,2.0,1.8437879779377402,0.16153846153846155,0.27366829636038953
random_45,Random,6,0.16666666666666666,0.946394630357186,1.222222222222222,1.0954451150103321,1.0954451150103321,0.3333333333333333,1.5,2.0,0.8000000000000002,0.27777777777777773,0.2509242175696936
random_46,Random,15,0.14666666666666667,0.9249328209725433,1.2,0.8275081725752721,0.49196615389287807,0.06666666666666667,4.866666666666666,2.0,3.7812444025766405,0.3266666666666667,0.2705213821157548
random_47,Random,15,0.1511111111111111,0.9227347688364733,1.248888888888889,0.5394702734871245,0.5646533589019276,0.06666666666666667,3.25,3.0,1.569734241159675,0.49333333333333335,0.1746115854785227
random_48,Random,15,0.20444444444444446,0.9336170040574047,1.5955555555555556,0.7235758265555777,0.4847108823633955,0.0,NaN,3.0,5.648493587509586,0.49851851851851847,0.5020901027533575
random_49,Random,12,0.1875,0.9137341043194568,1.361111111111111,0.6321005190772531,0.5058579404262187,0.08333333333333333,NaN,1.0,2.59163439194423,0.3444444444444444,0.3487643815799086
random_5,Random,15,0.1511111111111111,0.922478407492362,1.3244444444444443,0.5887602699420069,0.6119182095714597,0.06666666666666667,6.0,2.0,3.500325947683524,0.22888888888888895,0.26514718611184673
