fw_ID,model,richness,connectance,complexity,max_trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence,S_initial,connectance_initial,prop_basal_initial,mx_tl_initial,mean_FCL_initial,closed_loops_initial,isolated_initial,illogical_initial
random_58,Random,15,0.29333333333333333,0.9037996184537903,5.607288403209173e16,0.4767312946227962,0.4010758848488898,0.0,NaN,1.0,4.2733979012649,0.5237277537277537,13.984473574843678,15,0.29333333333333333,0.0,5.607288403209173e16,NaN,19079,0,
maxent_58,MaxEnt,15,0.21333333333333335,0.906819670918127,4.953544886579536,0.8028270361665706,0.7581403469769207,0.13333333333333333,5.5092592592592595,2.0,2.91058157366993,0.452058682058682,1.233729722945996,15,0.21333333333333335,0.13333333333333333,4.953544886579536,5.5092592592592595,42,0,
ltm_59,LTM,15,0.2088888888888889,0.8866503875221365,4.1533047013608115,0.9789876741141262,0.432690545832047,0.06666666666666667,5.247706422018348,3.0,5.610557139992757,0.49899470899470905,0.8183376292760242,15,0.2088888888888889,0.06666666666666667,4.1533047013608115,5.247706422018348,9,0,1
ltm_laura_59,LTM_Laura,15,0.09333333333333334,0.9557751446234151,5.000000000000001,0.8872271477258841,0.6501849927377139,0.13333333333333333,2.0,2.0,2.0000000000000004,0.3422222222222222,1.013238813193604,15,0.09333333333333334,0.13333333333333333,5.000000000000001,2.0,3,0,2
atn_59,ATN,15,0.09777777777777778,0.9684715824730156,4.5,0.7227946550308769,0.5685064007950854,0.13333333333333333,4.384615384615385,2.0,2.4244403576637703,0.15555555555555553,1.1330181634599503,15,0.09777777777777778,0.13333333333333333,4.5,4.384615384615385,0,0,2
adbm_59,ADBM,15,0.17777777777777778,0.87176965545989,5.0,1.311862089877264,0.7319250547113999,0.2,3.606060606060606,2.0,3.351329572925061,0.48756613756613754,1.4922966331245793,15,0.17777777777777778,0.2,5.0,3.606060606060606,0,0,3
niche_59,Niche,15,0.07555555555555556,0.9495469875434414,4.0,1.1488350823619744,0.6557853114328294,0.2,2.3636363636363638,3.0,2.296703296703297,0.29111111111111115,0.6701298934341566,15,0.07555555555555556,0.2,4.0,2.3636363636363638,0,1,
cascade_59,Cascade,15,0.09777777777777778,0.9133285635727465,3.009259259259259,1.1771887349068115,0.9596339325668137,0.26666666666666666,2.5217391304347827,3.0,2.3925686591276256,0.18444444444444444,0.6307374319119591,15,0.09777777777777778,0.26666666666666666,3.009259259259259,2.5217391304347827,0,1,
random_59,Random,15,0.11555555555555555,0.9519233988549716,5.519607843137255,0.769917276078009,0.769917276078009,0.13333333333333333,3.1875,1.0,1.3455399419581489,0.1888888888888889,1.3318168278906344,15,0.11555555555555555,0.13333333333333333,5.519607843137255,3.1875,2,0,
maxent_59,MaxEnt,15,0.08444444444444445,0.9509957727022404,5.5,1.095011532917349,1.0104323264560808,0.4,1.9285714285714286,3.0,1.678002125398512,0.14666666666666664,1.2793227374930325,15,0.08444444444444445,0.4,5.5,1.9285714285714286,1,1,
