model,richness,connectance,complexity,trophic_level,generality,vulnerability,top,ChLen,distance,centrality,clustering,trophicCoherence
adbm_92,12,0.1597222222222222,0.864086918240136,1.4375,1.1867979740350676,0.9558028200216293,0.3333333333333333,3.3214285714285716,3.0,2.9633027522935778,0.46666666666666656,0.4984880521780348
adbm_93,9,0.1111111111111111,0.9284601923798931,1.1358024691358024,1.5811388300841898,0.8660254037844386,0.3333333333333333,1.7142857142857142,2.0,1.5471698113207546,0.4037037037037037,0.29104136380558715
adbm_94,9,0.1111111111111111,0.9786600843501597,1.1851851851851851,1.224744871391589,1.224744871391589,0.5555555555555556,1.3333333333333333,1.0,1.4545454545454546,0.0,0.2222222222222221
adbm_95,10,0.17,0.8436988378334849,1.26,1.178103442023514,1.0757542528898199,0.4,2.15,2.0,2.092783505154639,0.48,0.25681877336546327
adbm_96,5,0.04,NaN,1.04,2.23606797749979,2.23606797749979,0.8,0.25,2.0,4.0,0.0,NaN
adbm_97,7,0.10204081632653061,0.935024437829149,1.1224489795918366,1.5577761927397231,1.058300524425836,0.42857142857142855,1.0,2.0,2.0,0.33333333333333337,0.2166535841157586
adbm_98,11,0.1487603305785124,0.890241826172126,1.1735537190082643,1.1358360166811594,1.032496674433409,0.36363636363636365,3.4375,1.0,1.1710526315789473,0.42424242424242425,0.19108867427105025
adbm_99,8,0.1875,0.8102463008129033,1.234375,0.9428090415820634,1.234426799696735,0.5,1.4615384615384615,2.0,2.2,0.45,0.14556251911016435
atn_1,14,0.12755102040816327,0.9336943666112494,1.214285714285714,0.7007688085787802,0.7007688085787802,0.2857142857142857,2.8181818181818183,3.0,1.1885856079404467,0.3238095238095237,0.06559513006645672
atn_10,15,0.1288888888888889,0.915068014029067,1.2844444444444443,0.8170511719788857,0.6015099058271788,0.2,5.49171270718232,4.0,2.667294432598172,0.3111111111111111,0.3315882068413414
atn_100,9,0.07407407407407407,0.946394630357186,1.08641975308642,1.299038105676658,1.299038105676658,0.5555555555555556,0.8571428571428571,2.0,1.9999999999999998,0.0,0.05737753105492472
atn_11,10,0.15,0.9291790590418965,1.23,0.9558139185602919,0.7200822998230957,0.2,2.5,2.0,1.5149700598802394,0.5033333333333333,0.19073791542572852
atn_12,8,0.125,0.8200890064018352,1.1875,1.1952286093343936,1.6035674514745464,0.625,1.2222222222222223,2.0,2.428571428571429,0.5416666666666666,0.16021748611541392
atn_13,9,0.1728395061728395,0.9163189985761662,1.308641975308642,0.9702198362290089,0.7266782124777074,0.2222222222222222,2.6923076923076925,3.0,2.145631067961165,0.48148148148148145,0.24886119678493185
atn_14,5,0.12,0.9786600843501594,1.1600000000000001,1.4907119849998598,0.9128709291752769,0.4,1.0,2.0,2.3333333333333335,0.0,0.20000000000000007
atn_15,14,0.08673469387755102,0.9695260317996846,1.1428571428571428,0.9237642725257903,0.8029092695830123,0.21428571428571427,3.789473684210526,3.0,2.549295774647888,0.27380952380952384,0.15458673560021058
atn_16,6,0.08333333333333333,0.9999999999999998,1.1666666666666667,1.0954451150103321,1.0954451150103321,0.5,1.0,2.0,1.5714285714285716,0.0,1.2869730969111293e-16
atn_17,7,0.14285714285714285,0.9289733505723583,1.2448979591836735,1.1547005383792515,0.816496580927726,0.2857142857142857,2.0,3.0,2.798449612403101,0.21428571428571427,0.32991443953692906
atn_18,15,0.13333333333333333,0.9174770667357796,1.1777777777777776,0.7319250547113999,0.7319250547113999,0.13333333333333333,5.179775280898877,3.0,3.237668161434979,0.49206349206349204,0.1822240911968446
atn_19,10,0.04,0.9870558585867127,1.05,1.2909944487358056,1.7480147469502525,0.7,0.8571428571428571,1.0,1.5,0.0,0.11547005383792507
atn_2,15,0.1511111111111111,0.9093377622077093,1.4,0.588760269942007,0.5646533589019275,0.13333333333333333,5.819571865443425,4.0,3.6592007362687586,0.373968253968254,0.21010329538498448
atn_20,6,0.05555555555555555,1.0,1.0833333333333333,1.5491933384829668,1.5491933384829668,0.6666666666666666,0.5,3.0,3.5000000000000004,0.0,1.5700924586837752e-16
atn_21,10,0.12,0.9009214678030689,1.2,1.0971343143406387,1.1653431646335017,0.5,1.9090909090909092,2.0,2.4985422740524776,0.0,0.1477097891751993
atn_22,12,0.1111111111111111,0.9502307422204256,1.173611111111111,0.8660254037844386,0.8048150549829897,0.25,2.6923076923076925,2.0,1.9189189189189189,0.19444444444444442,0.12865040196566016
atn_23,4,0.0,0.0,1.0,NaN,NaN,1.0,0.0,1.0,NaN,0.0,NaN
atn_24,6,0.05555555555555555,1.0,1.0833333333333333,1.5491933384829668,1.5491933384829668,0.6666666666666666,0.5,1.0,2.0,0.0,1.5700924586837752e-16
atn_25,15,0.12444444444444444,0.9487260663320709,1.2666666666666666,0.6975070142911988,0.4904332588039965,0.06666666666666667,5.531914893617022,2.0,2.3173455978975035,0.3777777777777778,0.19630627907130696
atn_26,6,0.05555555555555555,1.0,1.0833333333333333,1.5491933384829668,1.5491933384829668,0.6666666666666666,0.5,3.0,3.5000000000000004,0.0,1.5700924586837752e-16
atn_27,12,0.125,0.947750948588386,1.2083333333333333,0.9211323729436766,0.7784989441615229,0.25,2.142857142857143,2.0,1.9752066115702482,0.3611111111111111,0.15655607277128736
atn_28,15,0.1111111111111111,0.9477172582570668,1.1466666666666667,0.9258200997725514,0.5398412465054623,0.06666666666666667,5.5777777777777775,2.0,1.6829268292682928,0.22444444444444445,0.16087722486878453
