fw_ID,model,dist_model,outcome,failed
niche_63_10,Niche,4.620021363838961,Equilibrium,FALSE
cascade_63_10,Cascade,4.39312921576333,Equilibrium,FALSE
random_63_10,Random,1.3877356940674093,Equilibrium,FALSE
maxent_63_10,MaxEnt,6.356219104194832,Equilibrium,FALSE
ltm_64_10,LTM,3.0762715068643174,Equilibrium,FALSE
atn_64_10,ATN,2.9464481470216985,Equilibrium,FALSE
adbm_64_10,ADBM,4.791315855984381,Equilibrium,FALSE
niche_64_10,Niche,6.963878827654708,Equilibrium,FALSE
cascade_64_10,Cascade,6.569235753067715,Equilibrium,FALSE
random_64_10,Random,3.323843620031802,Equilibrium,FALSE
maxent_64_10,MaxEnt,4.1444231132882186,Equilibrium,FALSE
atn_65_10,ATN,3.1639404074888695,Equilibrium,FALSE
adbm_65_10,ADBM,3.0772981123468375,Equilibrium,FALSE
niche_65_10,Niche,4.637401611352187,Equilibrium,FALSE
cascade_65_10,Cascade,3.3270948490113104,Equilibrium,FALSE
maxent_65_10,MaxEnt,2.9876805504663744,Equilibrium,FALSE
ltm_66_10,LTM,2.732471606228324,Equilibrium,FALSE
atn_66_10,ATN,3.306820079174799,Equilibrium,FALSE
adbm_66_10,ADBM,2.624442403376293,Equilibrium,FALSE
niche_66_10,Niche,4.4893954993681415,Equilibrium,FALSE
cascade_66_10,Cascade,3.5318868101016365,Equilibrium,FALSE
maxent_66_10,MaxEnt,5.7186113762446915,Equilibrium,FALSE
ltm_67_10,LTM,2.789469738657471,Equilibrium,FALSE
atn_67_10,ATN,4.767336757076977,Equilibrium,FALSE
adbm_67_10,ADBM,1.976487136102551,Equilibrium,FALSE
niche_67_10,Niche,5.572138249035498,Equilibrium,FALSE
cascade_67_10,Cascade,6.359153959790684,Equilibrium,FALSE
random_67_10,Random,4.706048586870819,Equilibrium,FALSE
maxent_67_10,MaxEnt,4.7796114726099574,Equilibrium,FALSE
ltm_68_10,LTM,5.284196670701756,Equilibrium,FALSE
atn_68_10,ATN,6.92234460951527,Equilibrium,FALSE
adbm_68_10,ADBM,3.202107911784409,Equilibrium,FALSE
niche_68_10,Niche,8.234466173277605,Equilibrium,FALSE
cascade_68_10,Cascade,7.694795763538926,Equilibrium,FALSE
random_68_10,Random,5.955202771154309,Equilibrium,FALSE
maxent_68_10,MaxEnt,3.4068606689915133,Equilibrium,FALSE
ltm_69_10,LTM,4.104511654480881,Equilibrium,FALSE
atn_69_10,ATN,4.874859413417948,Equilibrium,FALSE
adbm_69_10,ADBM,3.8588783279676755,Equilibrium,FALSE
niche_69_10,Niche,10.178319551102566,Equilibrium,FALSE
cascade_69_10,Cascade,7.1493862768531065,Equilibrium,FALSE
maxent_69_10,MaxEnt,8.076459766316153,Equilibrium,FALSE
ltm_70_10,LTM,4.083094921176772,Equilibrium,FALSE
niche_70_10,Niche,6.706627014321445,Equilibrium,FALSE
cascade_70_10,Cascade,6.855891600214497,Equilibrium,FALSE
random_70_10,Random,4.253430781831501,Equilibrium,FALSE
maxent_70_10,MaxEnt,9.226591487694296,Equilibrium,FALSE
atn_71_10,ATN,4.2605304107511515,Equilibrium,FALSE
adbm_71_10,ADBM,2.568052891180799,Equilibrium,FALSE
niche_71_10,Niche,4.6758632549726125,Equilibrium,FALSE
cascade_71_10,Cascade,3.239649385380616,Equilibrium,FALSE
random_71_10,Random,1.5871273600041322,Equilibrium,FALSE
maxent_71_10,MaxEnt,2.897348757396373,Equilibrium,FALSE
atn_72_10,ATN,4.185192702992926,Equilibrium,FALSE
adbm_72_10,ADBM,4.053777957649885,Equilibrium,FALSE
niche_72_10,Niche,3.0572255746344372,Equilibrium,FALSE
cascade_72_10,Cascade,3.4842495055935316,Equilibrium,FALSE
random_72_10,Random,1.6919445845672874,Equilibrium,FALSE
ltm_73_10,LTM,2.720374165517346,Equilibrium,FALSE
atn_73_10,ATN,2.9282494384902265,Equilibrium,FALSE
adbm_73_10,ADBM,3.535720593472819,Equilibrium,FALSE
niche_73_10,Niche,13.026746760072612,Equilibrium,FALSE
cascade_73_10,Cascade,6.267275239739906,Equilibrium,FALSE
random_73_10,Random,5.860830866264441,Equilibrium,FALSE
maxent_73_10,MaxEnt,7.697546536622824,Equilibrium,FALSE
atn_74_10,ATN,2.4503338715583314,Equilibrium,FALSE
adbm_74_10,ADBM,2.6098774035340764,Equilibrium,FALSE
niche_74_10,Niche,3.5401305576174056,Equilibrium,FALSE
cascade_74_10,Cascade,3.8733963464311882,Equilibrium,FALSE
maxent_74_10,MaxEnt,3.345801462296056,Equilibrium,FALSE
